id,State_Code,State_Name,State_ab,County,City,Place,Type,Primary,Zip_Code,Area_Code,ALand,AWater,Lat,Lon,Mean,Median,Stdev,Households
1001148,10,Delaware,DE,New Castle County,New Castle,New Castle city,City,place,19720,302,8803291,320905,39.669813,-75.566273,129814.596168145,108253,138880.825501186+0i,2318
1001150,10,Delaware,DE,New Castle County,Hockessin,North Star,CDP,place,19707,302,17617657,2946,39.752503,-75.734864,210100.307063412,230744,208647.514599655+0i,2692
1001152,10,Delaware,DE,New Castle County,Odessa,Odessa,Town,place,19730,302,1316591,59040,39.455375,-75.660576,145041.235106858,128069,150637.136629492+0i,229
1001154,10,Delaware,DE,New Castle County,Wilmington,Pike Creek Valley,CDP,place,19808,302,6689593,4085,39.729645,-75.70116,131193.504191428,128008,130744.771849511+0i,4827
1001156,10,Delaware,DE,Kent County,Camden,Rising Sun-Lebanon,CDP,place,19934,302,9234103,247,39.099911,-75.50635,78379.2867536163,84774,65745.4568450062+0i,1402
1001158,10,Delaware,DE,Kent County,Dover,Rodney Village,CDP,place,19904,302,1536932,0,39.128361,-75.539466,66568.7617078922,59971,60673.3411309727+0i,584
1001160,10,Delaware,DE,Sussex County,Seaford,Seaford city,City,place,19973,302,13555653,179326,38.657243,-75.613315,92086.2039256167,80750,103200.189856354+0i,2736
1001162,10,Delaware,DE,Sussex County,Milford,Slaughter Beach,Town,place,19963,302,3513446,59167,38.918307,-75.313303,149740.076096648,150228,154388.870737211+0i,114
1001164,10,Delaware,DE,New Castle County,Smyrna,Smyrna,Town,place,19977,302,15373463,200549,39.291934,-75.606717,25683.7105236844,300000,11979.9139875809+0i,22
1001166,10,Delaware,DE,New Castle County,Townsend,Townsend,Town,place,19734,302,2717774,2711,39.404803,-75.699096,142733.791178877,142627,137589.216685206+0i,643
1001168,10,Delaware,DE,New Castle County,Wilmington,Wilmington city,City,place,19802,302,28241488,15639762,39.735651,-75.532104,124494.47175787,103147,138711.864564482+0i,28881
1001170,10,Delaware,DE,Kent County,Woodside,Woodside,Town,place,19980,302,423482,0,39.07114,-75.566684,77077.801045767,85556,69374.7711872062+0i,59
1001172,10,Delaware,DE,Kent County,Camden,Wyoming,Town,place,19934,302,2745572,31480,39.111784,-75.564589,96855.2170585587,88050,99823.5947615653+0i,631
12011185,12,Florida,FL,Alachua County,Alachua,Alachua city,City,place,32615,386,91475409,978850,29.765481,-82.474955,122237.12639775,94671,135967.476583469+0i,4012
12011187,12,Florida,FL,Jackson County,Cottondale,Alford,Town,place,32431,850,2773962,30840,30.69567,-85.394629,44549.202279996,35138,44739.4256481093+0i,201
12011189,12,Florida,FL,Seminole County,Altamonte Springs,Altamonte Springs city,City,place,32714,407,23406534,1639508,28.661022,-81.394681,109810.718239986,87558,121302.067806256+0i,16709
12011191,12,Florida,FL,Lake County,Altoona,Altoona,CDP,place,32702,352,1094073,138376,28.968733,-81.648092,51124.0949976303,50483,42457.175522655+0i,45
12011193,12,Florida,FL,Lee County,Alva,Alva,CDP,place,33920,239,45223345,2496799,26.721492,-81.624284,150567.75139139,140774,160816.475412384+0i,819
12011195,12,Florida,FL,Manatee County,Holmes Beach,Anna Maria city,City,place,34217,941,1908956,323684,27.529833,-82.733719,127188.649544582,103973,140645.846615396+0i,587
12011197,12,Florida,FL,Hillsborough County,Apollo Beach,Apollo Beach,CDP,place,33572,813,51313693,6400171,27.76302,-82.403313,153495.074688722,144729,160100.163406557+0i,6269
12011199,12,Florida,FL,DeSoto County,Arcadia,Arcadia city,City,place,34266,863,11188783,15770,27.221195,-81.858545,83497.2682510741,65700,98584.2890558956+0i,2527
12011201,12,Florida,FL,Hernando County,Spring Hill,Aripeka,CDP,place,34606,352,2127677,515149,28.429337,-82.668286,27499.4999999998,300000,13032.6672709949+0i,7
12011203,12,Florida,FL,Clay County,Green Cove Springs,Asbury Lake,CDP,place,32043,904,44146860,700278,30.049014,-81.787591,141658.612077948,113506,150942.289200465+0i,2867
12011205,12,Florida,FL,Lake County,Pierson,Astor,CDP,place,32180,386,6046937,819304,29.163834,-81.534621,117896.994405242,81487,147409.564996833+0i,649
12011207,12,Florida,FL,Palm Beach County,Lake Worth,Atlantis city,City,place,33461,561,3616341,101987,26.597248,-80.1041,197292.304703373,234094,203584.477088506+0i,920
12011209,12,Florida,FL,Jefferson County,Greenville,Aucilla,CDP,place,32331,850,5190929,0,30.477028,-83.760399,52644.1444821314,300000,43765.1389360569+0i,63
12011211,12,Florida,FL,Miami-Dade County,Aventura,Aventura city,City,place,33180,305,6863115,2217379,25.960142,-80.133098,170061.722670322,173733,180702.849541657+0i,18701
12011213,12,Florida,FL,Orange County,Orlando,Azalea Park,CDP,place,32807,407,8202744,83856,28.55431,-81.299455,73976.7206460689,64305,81728.0908933475+0i,4545
12011215,12,Florida,FL,Santa Rosa County,Milton,Bagdad,CDP,place,32583,850,16429827,324298,30.584172,-87.044892,83171.3408750189,101043,46368.3947418606+0i,1494
12011217,12,Florida,FL,Miami-Dade County,Bay Harbor Islands,Bal Harbour,Village,place,33154,305,992933,671219,25.893342,-80.123188,198148.255665425,239173,205843.716966661+0i,1521
12011219,12,Florida,FL,Pinellas County,Seminole,Bardmoor,CDP,place,33777,727,5730083,191729,27.856083,-82.75324,147171.527634414,142170,157726.321618582+0i,3845
12011221,12,Florida,FL,Jackson County,Malone,Bascom,Town,place,32445,850,624917,0,30.928019,-85.118023,119391.190197408,300000,131925.664103561+0i,39
12011223,12,Florida,FL,Orange County,Orlando,Bay Hill,CDP,place,32836,407,6153016,2741263,28.454968,-81.516895,198585.04312788,217261,199784.928781607+0i,1864
12011225,12,Florida,FL,Pasco County,Port Richey,Bayonet Point,CDP,place,34668,727,14884333,111897,28.324706,-82.68396,61197.8512064069,57251,63735.6184402158+0i,10974
12011227,12,Florida,FL,Hernando County,Spring Hill,Bayport,CDP,place,34606,352,1487971,179523,28.543064,-82.644015,106115.142109921,300000,93904.7322530358+0i,125
12011229,12,Florida,FL,Pasco County,Holiday,Beacon Square,CDP,place,34691,727,5194672,93843,28.211213,-82.750685,85001.9572856695,64027,101763.245343723+0i,2580
12011231,12,Florida,FL,Sarasota County,Sarasota,Bee Ridge,CDP,place,34233,941,9688705,395500,27.2843,-82.473077,156030.964590035,130493,169254.208316616+0i,4453
12011233,12,Florida,FL,Clay County,Orange Park,Bellair-Meadowbrook Terrace,CDP,place,32073,904,10858337,163659,30.179292,-81.734379,95182.7121475782,78727,103994.208037358+0i,5381
12011235,12,Florida,FL,Pinellas County,Largo,Belleair Beach city,City,place,33770,727,1234993,3170480,27.931244,-82.836575,204399.323873596,239930,208363.003275759+0i,723
12011237,12,Florida,FL,Pinellas County,Largo,Belleair Shore,Town,place,33774,727,154028,742347,27.917006,-82.845421,245505.70227456,300000,238234.99505903+0i,30
12011239,12,Florida,FL,Orange County,Belle Isle,Belle Isle city,City,place,32809,407,6163447,7194419,28.465254,-81.349361,174855.223225811,179836,181327.406236856+0i,2388
12011241,12,Florida,FL,Escambia County,Pensacola,Bellview,CDP,place,32526,850,30157375,350648,30.464787,-87.30925,101173.74696038,85204,109029.632512342+0i,8614
12011243,12,Florida,FL,Flagler County,Flagler Beach,Beverly Beach,Town,place,32136,386,881163,121718,29.517161,-81.147728,102701.940820736,83698,109958.898030771+0i,191
12011245,12,Florida,FL,Monroe County,Key West,Big Coppitt Key,CDP,place,33040,305,2988361,1784461,24.580225,-81.652178,136896.5940886,105088,147309.701819431+0i,880
12011247,12,Florida,FL,Miami-Dade County,North Miami,Biscayne Park,Village,place,33161,305,1605662,46643,25.881696,-80.181101,174702.255252375,193871,187652.784484308+0i,1156
